title,price,rating,reviews,availability,source
"Garmin Approach® S44, Essential Golf GPS Smartwatch, AMOLED Display, On-Course Features, Silver Aluminum Bezel with Twilight Silicone Band",,3.9 out of 5 stars,10 ratings,In Stock,Amazon
"Garmin vívoactive 5, Health and Fitness GPS Smartwatch, AMOLED Display, Up to 11 Days of Battery, Black",,4.4 out of 5 stars,"4,652 ratings",In Stock,Amazon
"Samsung Galaxy Watch 7 40mm Bluetooth AI Smartwatch w/Energy Score, Wellness Tips, Heart Rate Tracking, Sleep Monitor, Fitness Tracker, 2024, Cream [US Version, 1Yr Manufacturer Warranty]",,4.5 out of 5 stars,"1,875 ratings",In Stock,Amazon
"Amazfit Active 2 Smart Watch 44mm, GPS Maps with Direction, Fitness Tracker, 10 Day Battery, Sleep Monitor, 160+ Sport Modes, Water Resistant, for Android & Apple iPhone, Black Silicone",,4.7 out of 5 stars,180 ratings,In Stock,Amazon
"Smart Watch for Men Women Bluetooth Call, 1.95"" HD Touch Screen Fitness Watch with Sleep Heart Rate Monitor, 100+ Sports Modes, IP68 Waterproof Activity Trackers for Android iOS, Blue",,4.6 out of 5 stars,969 ratings,Not Available,Amazon
"Fitpolo Smart Watch for Men Women,1.8” Touchscreen, Bluetooth Call, Alexa Built-in,24/7 Heart Rate, SpO2 Monitor, Step Counting, Sleep Tracking,IP68 Waterproof Fitness Tracker Watch for Android iPhone",,4.1 out of 5 stars,"6,151 ratings",Not Available,Amazon
"Smart Watch, 1.43"" Smartwatch for Men Women (Answer/Make Call), Fitness Tracker with 110+ Sport Modes, IP68 Waterproof, Spo2, Pedometer, Heart Rate/Sleep Monitor, Activity Tracker for Android iOS",,5.0 out of 5 stars,539 ratings,Not Available,Amazon
"Fitbit Versa 4 Fitness Smartwatch with Daily Readiness, GPS, 24/7 Heart Rate, 40+ Exercise Modes, Sleep Tracking and more, Waterfall Blue/Platinum, One Size (S & L Bands Included)",,4.3 out of 5 stars,"13,909 ratings",In Stock,Amazon
"Smart Watch for Men Women, 1.96"" Smartwatch (Answer/Make Call), IP68 Waterproof Fitness Tracker, 112+ Sport Modes Smartwatches for Android iOS, Black​",,4.9 out of 5 stars,90 ratings,Not Available,Amazon
"Samsung Galaxy Watch FE 40mm Bluetooth AI Smartwatch w/Fitness Tracking, BIA Sensor, Personalized HR Zones, Heart Rate Tracker, Sleep Monitor, 2024, Black [US Version, 1Yr Manufacturer Warranty]",,4.2 out of 5 stars,620 ratings,In Stock,Amazon
Smart Watch for Men Women Fitness: Waterproof Make/Answer Call Smart Watches for Men Digital Mens Watches Running Step Tracker Smartwatch Android Phones iPhone Samsung Compatible Heart Rate Monitor,,4.4 out of 5 stars,242 ratings,Not Available,Amazon
