,question,answer,answer_context
34,"What are your housing requirements at the destination? (e.g., Size, Type, Special Needs)",3 bedroom apartment,Employee: I'd like a 3 bedroom apartment please.  
35,"Do you need packing and moving services? (e.g., Full-service, Self-pack)",Yes,"Employee: Yes, full service packing and moving would be helpful. Three people total will be relocating."
36,How many individuals will be relocating with you? (Enter a number),Three,"Employee: Yes, full service packing and moving would be helpful. Three people total will be relocating."
37,"Do you require employment assistance in the new location? (e.g., Job search, Transferring within company)",No,Employee: No employment assistance will be needed as I'm transferring jobs within the company. The primary reason for my relocation is a job transfer.
38,"What is the primary reason for your relocation? (e.g., Job transfer, Family, Education)",job transfer,Employee: No employment assistance will be needed as I'm transferring jobs within the company. The primary reason for my relocation is a job transfer.
39,"What is your current location? (City, State/Province, Country)","Miami, Florida, United States","Employee: My current location is Miami, Florida, United States. My destination location is New York City, New York, United States.  "
40,"What is your destination location? (City, State/Province, Country)",New York City,"Employee: My current location is Miami, Florida, United States. My destination location is New York City, New York, United States.  "
41,Is this relocation temporary or permanent?,permanent,"Employee: The relocation will be permanent. I'm hoping to relocate by June 1st, 2023."
42,When do you wish to relocate? (Enter the date in YYYY-MM-DD format),"by June 1st, 2023","Employee: The relocation will be permanent. I'm hoping to relocate by June 1st, 2023."
43,"Please provide your contact information for coordination (Name, Email, Phone).",Sofia Alvarez,"Employee: My name is Sofia Alvarez, email is salvarez@lawfirm.com and there is no budget limit."
44,What is your budget limit for the relocation? (Enter the amount in your local currency),no budget limit,"Employee: My name is Sofia Alvarez, email is salvarez@lawfirm.com and there is no budget limit."
45,Are there any additional notes or observations you would like to report?,no additional notes,"Employee: No, there were no additional notes."
46,"What type of safety incident are you reporting? (e.g., Workplace Injury, Fire, Hazardous Material Spill)",workplace injury,Employee: It was a workplace injury.
47,"Please provide your contact information (Name, Email, Phone).",Carlos Mendez,Employee: My name is Carlos Mendez and my phone number is 555-0102.
48,What immediate actions were taken following the incident?,First aid,"Employee: First aid was administered, and it affected one person.  "
49,How many individuals were affected by the incident? (Enter a number),one,"Employee: First aid was administered, and it affected one person.  "
50,When did the incident occur? (Enter the date in YYYY-MM-DD format),2023-02-15,"Employee: The date was 2023-02-15, and I sprained my ankle."
51,"Were there any injuries sustained? If yes, please describe.",sprained my ankle,"Employee: The date was 2023-02-15, and I sprained my ankle."
52,"Was there any property damage? If yes, please describe.",No,"Employee: No, there was no property damage."
53,Where did the incident occur? (Please provide the specific location),in the office,Employee: It occurred in the office at 10:00 AM.
54,What time did the incident occur? (Enter the time in HH:MM format),10:00 AM,Employee: It occurred in the office at 10:00 AM.
55,"How severe is the incident? (e.g., Minor, Moderate, Severe)",moderate,Employee: It was moderate in severity and there were no witnesses.
56,"Were there any witnesses to the incident? (Provide names or state ""None"")",no witnesses,Employee: It was moderate in severity and there were no witnesses.
57,"Please provide your contact information (Name, Email, Phone).",Sofia Alvarez,"Employee: My name is Sofia Alvarez, my email is salvarez@lawfirm.com."
58,"Were there any injuries sustained? If yes, please describe.",sprained my ankle,"Employee: Yes, I sprained my ankle."
59,What immediate actions were taken following the incident?,first aid,Employee: I got some first aid for my ankle. There was no property damage.  
60,"Was there any property damage? If yes, please describe.",no,Employee: I got some first aid for my ankle. There was no property damage.  
61,"What type of safety incident are you reporting? (e.g., Workplace Injury, Fire, Hazardous Material Spill)",workplace injury,Employee: It was a workplace injury and only I was affected.
62,How many individuals were affected by the incident? (Enter a number),only I was affected,Employee: It was a workplace injury and only I was affected.
63,When did the incident occur? (Enter the date in YYYY-MM-DD format),"February 15, 2023","Employee: It occurred on February 15, 2023 at 10:30 AM."
64,What time did the incident occur? (Enter the time in HH:MM format),10:30 AM,"Employee: It occurred on February 15, 2023 at 10:30 AM."
65,"How severe is the incident? (e.g., Minor, Moderate, Severe)",moderate,Employee: It was moderate.
66,"Were there any witnesses to the incident? (Provide names or state ""None"")","No, there were no witnesses","Employee: No, there were no witnesses. "
67,Are there any additional notes or observations you would like to report?,We need better floor mats in the office,Employee: We need better floor mats in the office. That's where it happened.
68,Where did the incident occur? (Please provide the specific location),the office,Employee: We need better floor mats in the office. That's where it happened.
69,How many total days are you taking off?,8,Employee: I'll be taking 8 days of vacation leave.
70,"What type of time off are you requesting? (e.g., Vacation, Sick Leave, Personal Day)",vacation,Employee: I'd like to use my vacation days.
71,"Will you be available for contact during your time off? (e.g., Yes, No, Limited availability)",limited availability,Employee: I'll have limited availability via email.
72,"What is the reason for your time off? (Optional, but may be required for certain types of leave)",planned vacation,Employee: It's just a planned vacation. There's nothing else to note.
73,Are there any additional notes or information related to your time off request?,nothing else to note,Employee: It's just a planned vacation. There's nothing else to note.
74,"Please provide an emergency contact method if needed (Phone, Email).",You can use my work email,Employee: You can use my work email.
75,Have you arranged for someone to cover your responsibilities? (Provide details),my coworkers,"Employee: Yes, my coworkers have agreed to cover for me.  "
76,When does your time off end? (Enter the date in YYYY-MM-DD format),"June 22nd, 2023","Employee: My vacation will end on June 22nd, 2023. I have not taken any other time off lately."
77,"Have you taken any other time off recently? (If yes, please provide details)","June 22nd, 2023","Employee: My vacation will end on June 22nd, 2023. I have not taken any other time off lately."
78,When does your time off start? (Enter the date in YYYY-MM-DD format),"June 15th, 2023","Employee: My vacation will start on June 15th, 2023."
79,When does your time off start? (Enter the date in YYYY-MM-DD format),"June 1st, 2023","Employee: I'm looking to start my vacation on June 1st, 2023. My coworkers have agreed to take on my responsibilities in my absence.  "
80,Have you arranged for someone to cover your responsibilities? (Provide details),My coworkers,"Employee: I'm looking to start my vacation on June 1st, 2023. My coworkers have agreed to take on my responsibilities in my absence.  "
81,"What type of time off are you requesting? (e.g., Vacation, Sick Leave, Personal Day)",vacation,Employee: I would like to request vacation time off.
82,"Please provide an emergency contact method if needed (Phone, Email).",email,Employee: You can reach me by email only. I will be taking 15 days off.
83,How many total days are you taking off?,15,Employee: You can reach me by email only. I will be taking 15 days off.
84,Are there any additional notes or information related to your time off request?,no other information needed,Employee: There is no other information needed. I am taking this time to relax and recharge.
85,"What is the reason for your time off? (Optional, but may be required for certain types of leave)",I am taking this time to relax and recharge,Employee: There is no other information needed. I am taking this time to relax and recharge.
86,"Will you be available for contact during your time off? (e.g., Yes, No, Limited availability)",limited,Employee: I will have limited availability during my vacation. I have not taken any other time off recently.
87,"Have you taken any other time off recently? (If yes, please provide details)",I have not taken any other time off recently,Employee: I will have limited availability during my vacation. I have not taken any other time off recently.
88,When does your time off end? (Enter the date in YYYY-MM-DD format),"June 15th, 2023","Employee: I will return to work on June 15th, 2023."
89,When does your time off end? (Enter the date in YYYY-MM-DD format),"June 15th, 2023","Employee: My time off will end on June 15th, 2023."
90,"Have you taken any other time off recently? (If yes, please provide details)",I have not taken any recent leave,Employee: I have not taken any recent leave. John will cover my responsibilities.  
91,Have you arranged for someone to cover your responsibilities? (Provide details),John will cover my responsibilities,Employee: I have not taken any recent leave. John will cover my responsibilities.  
92,"Please provide an emergency contact method if needed (Phone, Email).",email,"Employee: You can contact me by email only. My time off will start on June 1st, 2023."
93,When does your time off start? (Enter the date in YYYY-MM-DD format),"June 1st, 2023","Employee: You can contact me by email only. My time off will start on June 1st, 2023."
94,How many total days are you taking off?,15,Employee: I will be taking 15 days off.
95,"What type of time off are you requesting? (e.g., Vacation, Sick Leave, Personal Day)",vacation leave,Employee: I am requesting vacation leave. I will have limited availability during my time off.
96,"Will you be available for contact during your time off? (e.g., Yes, No, Limited availability)",limited,Employee: I am requesting vacation leave. I will have limited availability during my time off.
97,"What is the reason for your time off? (Optional, but may be required for certain types of leave)",a family trip,Employee: The reason for my time off is a family trip. There is no additional information to include.
98,Are there any additional notes or information related to your time off request?,no,Employee: The reason for my time off is a family trip. There is no additional information to include.
99,"Select your benefit plan by entering the plan code (e.g., Plan A, Plan B, etc.).",Plan A,"Employee: Yes, it's all updated. I'd like to go with Plan A."
100,Do we have your updated personal information on file? (Answer with Yes or No),Yes,"Employee: Yes, it's all updated. I'd like to go with Plan A."
101,"What type of benefit do you want to enroll in? (e.g., Health Insurance, Dental Insurance, etc.)",health insurance,Employee: I'm interested in enrolling in health insurance.
102,How many years have you been previously covered under a health plan? (Enter a number),10,Employee: I've had health coverage for 10 years.
103,What is your estimated annual premium budget in USD? (Enter a number),"$5,000","Employee: My estimated annual premium budget is $5,000. I'm hoping to start the coverage on March 1st, 2023."
104,When do you want the coverage to start? (Enter the date in YYYY-MM-DD format),"March 1st, 2023","Employee: My estimated annual premium budget is $5,000. I'm hoping to start the coverage on March 1st, 2023."
105,"Please enter your preferred contact method (Email, Phone, Mail).",Email,Employee: Email is best for contacting me. I'd like to add 2 dependents to the plan as well.
106,How many dependents do you want to add to the plan? (Enter a number),2,Employee: Email is best for contacting me. I'd like to add 2 dependents to the plan as well.
107,"What type of additional training, if any, does the employee need?",any additional training is needed,"Employee: At this time, I don't feel any additional training is needed. I'd rate my performance overall as a 4."
108,What is the overall performance rating of the employee? (Rate from 1 to 5),4,"Employee: At this time, I don't feel any additional training is needed. I'd rate my performance overall as a 4."
109,What is the name of the employee being reviewed?,Priya Singh,Employee: My name is Priya Singh. I've helped mentor some of the junior developers.
110,Describe any leadership qualities exhibited by the employee.,I've helped mentor some of the junior developers,Employee: My name is Priya Singh. I've helped mentor some of the junior developers.
111,How well did the employee achieve their set goals? (Rate from 1 to 5),4,Employee: I achieved my goals at a level 4. I would rate my contributions to team projects as a 5.  
112,How would you rate the employee’s contribution to team projects? (Rate from 1 to 5),5,Employee: I achieved my goals at a level 4. I would rate my contributions to team projects as a 5.  
113,What is the time period for this review? (Enter the date range in YYYY-MM-DD format),January 2023 to December 2023,Employee: The time period for this review was January 2023 to December 2023. One area I could still improve is my time management skills.
114,What areas require improvement for the employee?,time management skills,Employee: The time period for this review was January 2023 to December 2023. One area I could still improve is my time management skills.
115,What is the job role of the employee?,Software Developer,Employee: I am a Software Developer.
116,Describe the skill development or learning growth shown by the employee.,I've learned some new programming languages,Employee: I've learned some new programming languages over the past year. My goal for the next review period would be to complete my certification by December 2023.
117,What goals should be set for the next review period?,to complete my certification by December 2023,Employee: I've learned some new programming languages over the past year. My goal for the next review period would be to complete my certification by December 2023.
118,"Please provide an emergency contact method if needed (Phone, Email).",email,Employee: You can reach me by email.
119,How many total days are you taking off?,15,Employee: I'm requesting 15 days off.
120,Have you arranged for someone to cover your responsibilities? (Provide details),John,Employee: John will be covering my responsibilities.
121,When does your time off start? (Enter the date in YYYY-MM-DD format),"June 15th, 2023","Employee: My time off will start on June 15th, 2023. "
122,"Will you be available for contact during your time off? (e.g., Yes, No, Limited availability)",limited availability,Employee: I will have limited availability and there is no other information needed.
123,Are there any additional notes or information related to your time off request?,no other information needed,Employee: I will have limited availability and there is no other information needed.
124,"What type of time off are you requesting? (e.g., Vacation, Sick Leave, Personal Day)",vacation,Employee: I'm requesting vacation time and I have not taken any other time off recently.
125,"Have you taken any other time off recently? (If yes, please provide details)",have not taken any other time off recently,Employee: I'm requesting vacation time and I have not taken any other time off recently.
126,"What is the reason for your time off? (Optional, but may be required for certain types of leave)",a family trip,"Employee: The reason is for a family trip and my return date will be June 30th, 2023."
127,When does your time off end? (Enter the date in YYYY-MM-DD format),"June 30th, 2023","Employee: The reason is for a family trip and my return date will be June 30th, 2023."
128,What goals should be set for the next review period?,publishing two papers and further developing my research skills,Employee: I was thinking of publishing two papers and further developing my research skills.
129,Describe the skill development or learning growth shown by the employee.,research skills,Employee: I was thinking of publishing two papers and further developing my research skills.
130,What is the overall performance rating of the employee? (Rate from 1 to 5),exceeded expectations,Employee: I'd say my performance has exceeded expectations. Some grants and publications training could be useful.
131,"What type of additional training, if any, does the employee need?",grants and publications,Employee: I'd say my performance has exceeded expectations. Some grants and publications training could be useful.
132,What is the name of the employee being reviewed?,Henry Kim,Employee: My name is Henry Kim. I think I achieved most of my goals.
133,How well did the employee achieve their set goals? (Rate from 1 to 5),most,Employee: My name is Henry Kim. I think I achieved most of my goals.
134,Describe any leadership qualities exhibited by the employee.,I try to mentor some of the junior scientists,Employee: I try to mentor some of the junior scientists. I also feel I'm very collaborative. 
135,How would you rate the employee’s contribution to team projects? (Rate from 1 to 5),very collaborative,Employee: I try to mentor some of the junior scientists. I also feel I'm very collaborative. 
136,What is the job role of the employee?,Scientist,Employee: I'm a Scientist.
137,What areas require improvement for the employee?,Time management,Employee: Time management is something I can work on. This review covers the past year.
138,What is the time period for this review? (Enter the date range in YYYY-MM-DD format),the past year,Employee: Time management is something I can work on. This review covers the past year.
139,"Please provide your contact information for coordination (Name, Email, Phone).",Sofia Alvarez,"Employee: My name is Sofia Alvarez, my email is salvarez@lawfirm.com."
140,"What is the primary reason for your relocation? (e.g., Job transfer, Family, Education)",job transfer,"Employee: The reason for my relocation is a job transfer. I'm currently located in Miami, Florida.  "
141,"What is your current location? (City, State/Province, Country)","Miami, Florida","Employee: The reason for my relocation is a job transfer. I'm currently located in Miami, Florida.  "
142,When do you wish to relocate? (Enter the date in YYYY-MM-DD format),"June 1st, 2023","Employee: I'd like to relocate on June 1st, 2023 and it will be a permanent move."
143,Is this relocation temporary or permanent?,permanent,"Employee: I'd like to relocate on June 1st, 2023 and it will be a permanent move."
144,"What is your destination location? (City, State/Province, Country)","New York, New York","Employee: I'll be relocating to New York, New York and no, I don't need assistance finding a new job.  "
145,"Do you require employment assistance in the new location? (e.g., Job search, Transferring within company)","no, I don't need assistance finding a new job","Employee: I'll be relocating to New York, New York and no, I don't need assistance finding a new job.  "
146,"Do you have any specific transportation needs for the relocation? (e.g., Vehicle transport, Flight arrangements)","Yes, I'll need assistance arranging to transport my vehicle","Employee: Yes, I'll need assistance arranging to transport my vehicle."
147,How many individuals will be relocating with you? (Enter a number),3,"Employee: There will be 3 of us relocating and no, there are no special requirements."
148,Are there any special accommodations or requirements needed for the relocation?,no special requirements,"Employee: There will be 3 of us relocating and no, there are no special requirements."
149,"Do you need packing and moving services? (e.g., Full-service, Self-pack)",Yes,"Employee: Yes, please arrange for full service packing and moving assistance."
150,What is your budget limit for the relocation? (Enter the amount in your local currency),no budget limit,"Employee: There is no budget limit. For housing, I'll need a place with 3 bedrooms."
151,"What are your housing requirements at the destination? (e.g., Size, Type, Special Needs)",3 bedrooms,"Employee: There is no budget limit. For housing, I'll need a place with 3 bedrooms."
152,How many people will be participating in the training? (Enter a number),Three,Employee: Three people will be participating in the training.
153,What are your preferred dates for the training? (Enter the dates in YYYY-MM-DD format),2023-06-15,Employee: The dates I prefer for the training are 2023-06-15. The main topic will be machine learning research.  
154,What is the main topic or subject of the training you are requesting?,machine learning research,Employee: The dates I prefer for the training are 2023-06-15. The main topic will be machine learning research.  
155,What is your budget for this training? (Enter the amount in your local currency),"$10,000","Employee: The budget for the training is $10,000. The contact information for the person coordinating is Henry Kim, hkim@researchlab.com, 555-1234."
156,"Please provide contact information for the person coordinating the training (Name, Email, Phone).","hkim@researchlab.com, 555-1234","Employee: The budget for the training is $10,000. The contact information for the person coordinating is Henry Kim, hkim@researchlab.com, 555-1234."
157,Are there any special requirements or accommodations needed for the training?,no,Employee: There are no special requirements or accommodations needed for the training.
158,What are the desired outcomes or goals of this training?,to improve research skills,Employee: The desired outcomes of the training are to improve research skills. The current skill level of the participants is intermediate.  
159,"What is the current skill level of the participants? (e.g., Beginner, Intermediate, Advanced)",intermediate,Employee: The desired outcomes of the training are to improve research skills. The current skill level of the participants is intermediate.  
160,How long should the training last? (Specify in hours or days),2 days,Employee: The training should last 2 days. The preferred format is online seminars.
161,"What format do you prefer for the training? (e.g., Online, In-person, Workshop, Seminar)",online seminars,Employee: The training should last 2 days. The preferred format is online seminars.
162,What time did the harassment occur? (Enter the time in HH:MM format),9:30 this morning,Employee: The incident happened at around 9:30 this morning.  
163,"Were there any witnesses to the incident? (Provide names or state ""None"")",no one else was there to witness it,"Employee: Unfortunately, no one else was there to witness it."
164,"What type of harassment are you reporting? (e.g., Workplace, Online, Physical, Verbal)",verbal,Employee: It was a verbal harassment that occurred in the office kitchen.
165,Where did the harassment occur? (Please specify the location),the office kitchen,Employee: It happened in the office kitchen. It made me feel really uncomfortable.
166,Are there any additional notes or information you would like to add?,It happened in the office kitchen. It made me feel really uncomfortable,Employee: It happened in the office kitchen. It made me feel really uncomfortable.
167,What outcome or resolution are you seeking with this report?,An apology from my manager and some workplace training,Employee: An apology from my manager and some workplace training would be appreciated. 
168,How has this incident affected you or the victim?,very upset and embarrassed,Employee: I felt very upset and embarrassed by what happened.
169,Please describe the harassment incident in detail.,My manager yelled insults at me,Employee: My manager yelled insults at me.
170,When did the harassment incident occur? (Enter the date in YYYY-MM-DD format),"May 15th, 2020","Employee: This happened on May 15th, 2020. The person involved was my manager, Amir Khaled. You can reach me at +1-555-0345."
171,Who was involved in the incident? (Names or descriptions of individuals),"my manager, Amir Khaled","Employee: This happened on May 15th, 2020. The person involved was my manager, Amir Khaled. You can reach me at +1-555-0345."
172,"Have there been any previous similar incidents? (Yes/No, if yes, please describe)",No,"Employee: No, this was the first time anything like this has happened."
173,"Please provide your contact information (Name, Email, Phone).",No,"Employee: No, this was the first time anything like this has happened."
174,"Select your benefit plan by entering the plan code (e.g., Plan A, Plan B, etc.).",Plan A,Employee: Plan A works best for me.
175,Do we have your updated personal information on file? (Answer with Yes or No),Yes,"Employee: Yes, you have my updated personal information on record."
176,What is your estimated annual premium budget in USD? (Enter a number),five thousand,Employee: My estimated annual premium budget is five thousand US dollars.
177,When do you want the coverage to start? (Enter the date in YYYY-MM-DD format),"March 1st, 2023","Employee: I would like my coverage to start on March 1st, 2023 and please contact me by phone."
178,"Please enter your preferred contact method (Email, Phone, Mail).",phone,"Employee: I would like my coverage to start on March 1st, 2023 and please contact me by phone."
179,How many dependents do you want to add to the plan? (Enter a number),one,Employee: I want to add one dependent to the plan.
180,"What type of benefit do you want to enroll in? (e.g., Health Insurance, Dental Insurance, etc.)",health insurance,Employee: I am interested in health insurance and I have not previously been covered under a health plan for zero years.
181,How many years have you been previously covered under a health plan? (Enter a number),zero,Employee: I am interested in health insurance and I have not previously been covered under a health plan for zero years.
182,How many individuals will be relocating with you? (Enter a number),One person,"Employee: One person will be relocating with me, and I'll need full service packing and moving assistance."
183,"Do you need packing and moving services? (e.g., Full-service, Self-pack)",full service,"Employee: One person will be relocating with me, and I'll need full service packing and moving assistance."
184,"Please provide your contact information for coordination (Name, Email, Phone).",Jordan Casey,Employee: My name is Jordan Casey.
185,"Do you require employment assistance in the new location? (e.g., Job search, Transferring within company)","No, I won't need employment assistance","Employee: No, I won't need employment assistance. The primary reason for my relocation is a job transfer."
186,"What is the primary reason for your relocation? (e.g., Job transfer, Family, Education)",job transfer,"Employee: No, I won't need employment assistance. The primary reason for my relocation is a job transfer."
187,"Do you have any specific transportation needs for the relocation? (e.g., Vehicle transport, Flight arrangements)",don't have any transportation needs,Employee: I don't have any transportation needs. And the destination location is unknown at this time.
188,"What is your destination location? (City, State/Province, Country)",unknown,Employee: I don't have any transportation needs. And the destination location is unknown at this time.
189,What is your budget limit for the relocation? (Enter the amount in your local currency),"$65,000","Employee: My relocation budget limit is $65,000 and there are no special requirements."
190,Are there any special accommodations or requirements needed for the relocation?,no special requirements,"Employee: My relocation budget limit is $65,000 and there are no special requirements."
191,"What are your housing requirements at the destination? (e.g., Size, Type, Special Needs)",2 bedroom apartment,Employee: I'll be looking for a permanent 2 bedroom apartment at the destination. 
192,Is this relocation temporary or permanent?,permanent,Employee: I'll be looking for a permanent 2 bedroom apartment at the destination. 
193,"What is your current location? (City, State/Province, Country)","Portland, Oregon","Employee: My current location is Portland, Oregon. I'd like the relocation date to be 2021-01-01."
194,When do you wish to relocate? (Enter the date in YYYY-MM-DD format),2021-01-01,"Employee: My current location is Portland, Oregon. I'd like the relocation date to be 2021-01-01."
195,"Have you taken any other time off recently? (If yes, please provide details)","June 1st, 2023","Employee: I haven't taken any other time off recently. I would like my time off to start on June 1st, 2023.  "
196,When does your time off start? (Enter the date in YYYY-MM-DD format),"June 1st, 2023","Employee: I haven't taken any other time off recently. I would like my time off to start on June 1st, 2023.  "
197,When does your time off end? (Enter the date in YYYY-MM-DD format),"June 15th, 2023","Employee: I plan to return on June 15th, 2023. During my time off, I will have limited availability for contact."
198,"Will you be available for contact during your time off? (e.g., Yes, No, Limited availability)",limited,"Employee: I plan to return on June 15th, 2023. During my time off, I will have limited availability for contact."
199,How many total days are you taking off?,15,Employee: I will be taking a total of 15 days off. John has agreed to cover my responsibilities during that time.
200,Have you arranged for someone to cover your responsibilities? (Provide details),John,Employee: I will be taking a total of 15 days off. John has agreed to cover my responsibilities during that time.
201,"What type of time off are you requesting? (e.g., Vacation, Sick Leave, Personal Day)",vacation,Employee: I am requesting vacation leave. There is no other additional information needed.
202,Are there any additional notes or information related to your time off request?,no other additional information needed,Employee: I am requesting vacation leave. There is no other additional information needed.
203,"What is the reason for your time off? (Optional, but may be required for certain types of leave)",a family trip,Employee: The purpose of my time off is for a family trip. Please only contact me by email in an emergency.
204,"Please provide an emergency contact method if needed (Phone, Email).",email,Employee: The purpose of my time off is for a family trip. Please only contact me by email in an emergency.
205,What is the time period for this review? (Enter the date range in YYYY-MM-DD format),January 2023 to December 2023,Employee: The review period is from January 2023 to December 2023. Some cloud architecture training would be useful.
206,"What type of additional training, if any, does the employee need?",cloud architecture,Employee: The review period is from January 2023 to December 2023. Some cloud architecture training would be useful.
207,Describe the skill development or learning growth shown by the employee.,I learned new frameworks,Employee: I learned new frameworks.
208,What is the name of the employee being reviewed?,Priya Singh,Employee: The employee's name is Priya Singh. She guided junior developers.  
209,Describe any leadership qualities exhibited by the employee.,She guided junior developers,Employee: The employee's name is Priya Singh. She guided junior developers.  
210,What areas require improvement for the employee?,Time management skills,Employee: Time management skills could be improved.
211,What is the overall performance rating of the employee? (Rate from 1 to 5),4,Employee: Priya's overall performance rating is a 4.
212,How well did the employee achieve their set goals? (Rate from 1 to 5),4,Employee: She achieved her goals at a 4. A new goal could be to complete cloud architecture certification.
213,What goals should be set for the next review period?,to complete cloud architecture certification,Employee: She achieved her goals at a 4. A new goal could be to complete cloud architecture certification.
214,What is the job role of the employee?,Software Developer,Employee: Priya is a Software Developer. Her contribution to team projects is a 5.
215,How would you rate the employee’s contribution to team projects? (Rate from 1 to 5),5,Employee: Priya is a Software Developer. Her contribution to team projects is a 5.
216,Are there any special requirements or accommodations needed for the training?,No special needs,"Employee: No special needs, I'm hoping to improve my photography skills.  "
217,What is the main topic or subject of the training you are requesting?,photography,"Employee: No special needs, I'm hoping to improve my photography skills.  "
218,What are your preferred dates for the training? (Enter the dates in YYYY-MM-DD format),2023-05-15,"Employee: The dates 2023-05-15 would work well for me, and I'd like it to be a 2 day training."
219,How long should the training last? (Specify in hours or days),2 day,"Employee: The dates 2023-05-15 would work well for me, and I'd like it to be a 2 day training."
220,"What is the current skill level of the participants? (e.g., Beginner, Intermediate, Advanced)",intermediate,Employee: My skills are at an intermediate level currently.
221,How many people will be participating in the training? (Enter a number),one,"Employee: There will just be one person participating, myself."
222,What are the desired outcomes or goals of this training?,get better at portrait photography,Employee: I want to get better at portrait photography.
223,"Please provide contact information for the person coordinating the training (Name, Email, Phone).",Jordan Casey,Employee: The coordinator is Jordan Casey and their contact information is +1-555-0234.
224,What is your budget for this training? (Enter the amount in your local currency),65000,"Employee: The budget is 65000 in local currency, and an online course would work best for me."
225,"What format do you prefer for the training? (e.g., Online, In-person, Workshop, Seminar)",online,"Employee: The budget is 65000 in local currency, and an online course would work best for me."
226,How many total days are you taking off?,15,Employee: I'm hoping to take 15 days. You can contact me by email.
